protocol_type,packet_size,flow_duration,packet_rate,byte_rate,label
2,487,213.54984455481554,56.87012810653528,27695.752387882683,0
0,390,1487.5000740455084,34.46550760946724,13441.547967692222,0
2,249,250.81478649959604,21.95883013207916,5467.748702887711,0
0,68,423.0675910647298,32.512039602047025,2210.8186929391977,0
0,191,740.72162543173,3.967430119649073,757.779152852973,0
0,802,6.527599113679729,5449.04153735935,4370131.312962199,1
0,418,3578.425352208317,7.681625592281635,3210.919497573723,0
0,688,15.522549946528681,4718.649915723256,3246431.1420175997,1
1,541,458.2558979891484,4.593606700154824,2485.1412247837598,0
0,376,3069.322455123286,30.422539755088934,11438.874947913439,0
0,308,600.5563501530623,10.0150581267026,3084.6379030244007,0
1,147,948.8884998492952,6.050103478921579,889.365211401472,0
1,220,16.64490445112257,23.458660065827566,5160.905214482064,0
1,735,9.811313556356753,3830.027235537772,2815070.0181202623,1
1,519,1181.5614300548489,8.544552367937953,4434.622678959798,0
0,295,1579.450940749289,29.07263951409911,8576.428656659236,0
0,394,1508.9516131799194,18.48591335270819,7283.449860967027,0
1,761,63.205206696457296,4279.016619330572,3256331.647310565,1
0,348,462.8760505541198,10.033976622763987,3491.8238647218677,0
1,239,1700.4989770463,3.7317601067204644,891.890665506191,0
0,203,3195.9401030567496,8.37608460439401,1700.3451746919839,0
1,710,23.201837007438264,7301.633490184856,5184159.778031248,1
1,398,2727.0911791434773,7.037239711742563,2800.82140527354,0
0,271,2054.595671966734,1.8562644209488486,503.04765807713795,0
0,406,504.29029583491894,11.36789786247427,4615.366532164554,0
0,420,552.3693987603548,12.958582189756367,5442.604519697674,0
0,121,55.10137331862704,13.938795612088,1686.594269062648,0
0,1448,2876.6331413072085,7.857142380804745,11377.14216740527,0
2,256,342.5737762716714,39.19951482115631,10035.075794216016,0
0,518,560.2273591171648,50.66027441189517,26242.0221453617,0
0,761,2174.3737530955564,5.524303645757964,4203.99507442181,0
0,235,1368.2220811208185,13.294405797894001,3124.1853625050903,0
0,265,239.92506704696052,5.8577519334684265,1552.304262369133,0
0,66,6.6196820144967,351.9251187141758,23227.057835135605,2
1,266,1304.5152868526975,22.2450047794285,5917.17127132798,0
1,635,12.079229368902006,7331.9024266966235,4655758.040952356,1
0,60,28.673014848660422,350.5402579131164,21032.415474786983,2
0,478,115.47007143530087,42.143699177052106,20144.688206630908,0
